mount_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,wind_speed_mph,Alaskan Yellow Cedar Poles,Southern Yellow Pine Poles
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,115,6.93,7.83
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,120,6.36,7.2
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,130,5.42,6.13
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,140,4.68,5.29
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,150,4.07,4.61
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",8,160,3.58,4.05
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,115,6.93,7.83
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,120,6.36,7.2
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,130,5.42,6.13
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,140,4.68,5.29
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,150,4.07,4.61
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",10,160,3.58,4.05
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,115,6.93,7.83
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,120,6.36,7.2
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,130,5.42,6.13
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,140,4.68,5.29
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,150,3.9,4.61
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",12,160,2.81,4.05
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,115,6.85,7.74
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,120,5.84,7.11
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,130,4.1,6.06
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,140,2.71,5.23
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,150,1.59,4.55
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",14,160,0.68,3.95
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,115,4.04,7.57
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,120,3.15,6.95
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,130,1.68,5.81
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,140,0.51,4.14
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,150,0,2.8
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",16,160,0,1.7
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,115,1.61,6.15
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,120,0.85,5.08
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,130,0,3.27
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,140,0,1.84
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,150,0,0.69
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",18,160,0,0
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,115,0,1.27
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,120,0,0
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,130,0,0
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,140,0,0
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,150,0,0
BASE,Single Side Mount Fixture,"5"" x 5-1/2""",20,160,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,115,14.97,16.92
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,120,13.75,15.54
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,130,11.72,13.25
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,140,10.1,11.42
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,150,8.8,9.95
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,160,7.74,8.74
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,115,14.97,16.92
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,120,13.75,15.54
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,130,11.72,13.25
