mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",8,19.3,17.54,14.61,12.28,10.4,8.87
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",10,14.31,12.91,10.54,8.5,6.86,5.51
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",12,10.53,9.25,7.13,5.44,4.08,2.97
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",14,7.16,6.08,4.3,2.89,1.75,0.81
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",16,4.26,3.36,1.85,0.66,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",18,1.8,1.03,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",20,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,45.91,41.92,35.28,30.01,25.76,22.27
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,35.25,32.07,26.77,22.57,19.01,16.06
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,27.85,25.15,20.48,16.78,13.8,11.36
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,21.47,19.11,15.19,12.07,9.55,7.49
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,16.03,14.03,10.7,8.05,5.92,4.17
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,11.56,9.84,6.96,4.69,2.85,1.35
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,7.75,6.25,3.76,1.78,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,4.44,3.12,0.93,0,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,1.62,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,0,0,0,0,0,0
